p;size;hashing time;average search time;processed memory
2;50;29358.6;0.784;810189;
2;100;51149.2;0.894;835584;
2;500;26448;0.8772;869171;
2;800;49408;0.8875;956006;
2;1000;47256;0.942;1.01581e+06;
2;2000;68820.4;0.8811;1.24846e+06;
2;3000;53762.4;0.854267;1.37298e+06;
2;4000;76866.2;0.80025;1.55812e+06;
2;5000;43226.4;0.79432;1.73179e+06;
3;50;16827;0.78;732365;
3;100;18230.6;0.78;865894;
3;500;18265.8;0.888;920781;
3;800;18943.6;0.82175;963379;
3;1000;23918.6;0.8218;1.0412e+06;
3;2000;23296.8;0.8202;1.21242e+06;
3;4000;26575.2;0.80215;1.52289e+06;
3;5000;30095.8;0.83572;1.81699e+06;
4;50;16610;0.872;729907;
4;100;18298.2;0.782;865075;
4;500;16468.2;0.8168;946176;
4;800;17425;0.925;987136;
4;1000;20475.2;0.8636;1.04858e+06;
4;2000;24713.8;0.8323;1.29925e+06;
4;3000;20525.4;0.767733;1.47538e+06;
4;4000;26593.6;0.91985;1.70803e+06;
4;5000;30468.6;0.8756;1.97919e+06;
