p;size;hashing time;average search time;processed memory
2;50;772.2;0.528;0;
2;100;683.4;0.486;0;
2;500;2232;0.4984;55705.6;
2;800;5980.8;0.586;176947;
2;1000;5120.6;0.509;236749;
2;2000;7258.6;0.5179;434176;
2;3000;25167.2;0.5368;771686;
2;4000;22510.4;0.5181;938803;
2;5000;28581;0.53632;1.24928e+06;
3;50;347.6;0.5;0;
3;100;423.2;0.536;0;
3;500;1525.4;0.498;0;
3;800;1663;0.507;212173;
3;1000;2407.4;0.5286;247398;
3;2000;9062;0.5254;554598;
3;3000;5158.2;0.515333;698778;
3;4000;9440.2;0.534;928154;
3;5000;9576.8;0.52408;1.23617e+06;
4;50;411;0.48;0;
4;100;496.6;0.504;0;
4;500;1008;0.514;0;
4;800;2117.2;0.5245;209715;
4;1000;2452.6;0.5164;278528;
4;2000;4606;0.5042;533299;
4;3000;5492.4;0.504867;807731;
4;4000;8093.4;0.52685;1.03137e+06;
4;5000;12785.8;0.53216;1.46063e+06;
